INFO - 寻找组...
INFO - 下载服务器初始化开始...
INFO - 注册分析器
INFO - 启动成功，开始配置...
INFO - 成功！
INFO - 成功下载 http://scst.suda.edu.cn/
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025091419635.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025091344374.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071127172730870.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071026155147561.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080401165145453.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080415094809182.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025091454963.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071024164227287.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080422095816967.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081017115342220.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008101515422852.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081027094220163.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008102415203074.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080512193012929.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025091734124.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126140100242.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081119100745394.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008120909474957.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081209094552475.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081211192955389.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081212105124913.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008121210532124.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081209093038101.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081216082825311.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081212111141710.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081216085720235.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081217150947499.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081217142301442.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081218082304619.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081224161407312.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081225162355371.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081229085402467.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008122608522277.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081229092014573.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081231091858714.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090106100434455.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090107091722363.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090107091943724.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090109101058107.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090106170942741.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090107091851852.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090109101349765.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090109101310681.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20090109101442710.html
INFO - 成功下载 http://scst.suda.edu.cn/ncircs2007/
INFO - 成功下载 http://scst.suda.edu.cn/article/20090109153733338.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025091529652.html
INFO - 成功下载 http://scst.suda.edu.cn/page/2007102509151372.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025091547416.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025091844773.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025093120711.html
INFO - 成功下载 http://scst.suda.edu.cn/page/2007102509383215.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025093844483.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071203095236224.html
INFO - 成功下载 http://scst.suda.edu.cn/page/20071025093815243.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071203100746624.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071224093732816.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071224093901820.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071224094007427.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080103143246209.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080401170009178.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080401172105861.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080402171653828.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080409083853566.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080411111012271.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008051219572678.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080520083641657.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080522143505440.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071126110903895.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080522144255856.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080523172823679.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080526084854115.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080527091208231.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080529094202557.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080526100148551.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080529100007177.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080603155607555.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080604105651881.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080605090039623.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080616083758701.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080620093553478.html
INFO - 成功下载 http://scst.suda.edu.cn/page/2007102509385590.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080627110300668.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080627082734481.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080626084244956.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080827092740639.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029201159578.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029201707348.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029202603151.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029203016748.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029204137830.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007102920453621.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029204708327.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071105092038958.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071105092447685.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071105093301434.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071106084912312.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113084603666.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113090504705.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113090709497.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080922144115597.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080923084455762.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113090905318.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080924104248312.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080927094413626.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081015161920932.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080928144208368.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081016151821468.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081024161537629.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081017101227407.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081024161813489.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081024162033179.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081027100153232.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081103085756127.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081103085825734.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008110308592823.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081106082628341.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008110616321461.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071210152535730.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071130150141317.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20060509095110845.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071130150936998.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071106162124967.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080923082405935.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029203338362.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029212007842.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029212440354.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029212818953.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071106162605850.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029213042669.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029213250690.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029213540376.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071031084544129.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071105084641842.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071105091633516.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071106085042207.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071106162826483.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007110914562078.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071109175201140.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113084759141.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113085308320.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071112083459709.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113173038993.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071116084351458.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071116085234299.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071119084532864.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071119173620783.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071120100030159.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071122115657282.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007112211583738.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071127092539684.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071130131136908.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071130131320146.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071130131534277.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071130151516984.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071213135645573.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071213135845919.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081106163325755.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008110616354642.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081113143304708.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126141914231.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126141840552.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126142609455.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126142846178.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126143127935.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008112614461732.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126143426393.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126143302376.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20081126144716700.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007102920241117.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029201353151.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029203644620.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029203857390.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029203959851.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029205236514.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029205356117.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029205833326.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029210259722.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029210406690.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007102921072833.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029211014704.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029211253708.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071029211524297.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071030162737665.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071030170224600.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071031204917765.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007110114045732.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071105083745633.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071105090043742.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071030204511280.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071106085333409.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071112085226350.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071112085559367.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071112090055705.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071112091110415.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113085050230.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071115155731584.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071114145812172.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071114110555172.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071113171935750.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071116084028682.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071119084038431.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071119084333473.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071119092811126.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071119101126431.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071119174125108.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071122083451332.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071123150325215.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071126170110495.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071119101642738.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007112709213472.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071127092512663.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071127171918250.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071129100512739.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071203094912309.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071211140652619.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007121314245269.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071220100610702.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071220101018811.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071225144134629.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071227111049988.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2007122808534618.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20071229091932529.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080104084026779.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080115172206135.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080115171933389.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080104161102883.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080104160847632.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080121092509253.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080121092829165.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080226085235504.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080226171846992.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080228083005466.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080229171738576.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080310134856641.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080306081859653.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008031015084442.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080311171717617.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080311171852492.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080312140947945.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080313110505512.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008031916434034.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080325142325356.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080402155438848.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080409081516298.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080409081611388.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008040914470161.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080416100100934.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080423085045749.html
INFO - 成功下载 http://scst.suda.edu.cn/article/20080423085201594.html
INFO - 成功下载 http://scst.suda.edu.cn/article/2008042310120762.html
